slug,name,vendor,homepage,pricing_url,docs_url,repo,ecosystem,stack,license,license_source,open_source,pricing_model,price_min_usd,price_max_usd,price_evidence,price_checked_at,price_points,price_unmeasurable,last_commit_at,last_release_at,last_release_tag,releases_12mo,stars,forks,open_issues,contributors,includes,support_model,support_source,docs_pages,docs_kind,evidence_level,active,archived,logo_url,summary,summary_source,changelog_url,changelog_source,edition_of,edition_label,refreshed_at
open-saas,Open SaaS,Wasp,https://opensaas.sh,,https://opensaas.sh/docs,wasp-lang/open-saas,Wasp,"[""react"",""nodejs"",""prisma"",""postgres"",""stripe""]",MIT,https://github.com/wasp-lang/open-saas,true,free,0,0,,,[],false,2026-08-06T11:28:43+00:00,2026-07-27T13:25:33+00:00,wasp-v0.25-template,8,15716,1879,104,53,"{""ci"":{""value"":true,""source"":""file: .github/workflows/automation-pr-close-stale.yaml""},""auth"":{""value"":true,""source"":""file: template/app/src/auth/AuthPageLayout.tsx""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":true,""source"":""file: opensaas-sh/blog/src/content/docs/0.23/general/admin-dashboard.mdx""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":true,""source"":""file: opensaas-sh/blog/src/content/docs/0.23/guides/tests.md""},""billing"":{""value"":true,""source"":""file: opensaas-sh/blog/src/content/docs/0.23/guides/payment-integrations/stripe.mdx""},""blog_cms"":{""value"":true,""source"":""file: .github/workflows/blog-deployment.yml""},""webhooks"":{""value"":true,""source"":""file: template/app/src/payment/lemonSqueezy/webhook.ts""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""file: opensaas-sh/blog/src/content/docs/0.23/guides/email-sending.mdx""}}",Community Discord / Slack,https://github.com/wasp-lang/open-saas#readme,,site,hands_on,true,false,https://github.com/wasp-lang.png?size=160,"A 100% free modern JS SaaS boilerplate (React, NodeJS, Prisma). Full-featured: Auth (email, google, github, slack, MS), Email sending, Background jobs, Landing page, Payments (Stripe, Polar.sh), Shadcn UI, S3 file upload. AI-ready with tailored AGENTS.md, skills, and Claude Code plugin. One cmd deploy. Powered by Wasp full-stack framework.",https://github.com/wasp-lang/open-saas,,,,,2026-09-04T05:40:05.88+00:00
precedent,Precedent,Steven Tey,https://precedent.dev,,,steven-tey/precedent,Next.js,"[""nextjs"",""react"",""prisma"",""postgres"",""authjs""]",MIT,https://github.com/steven-tey/precedent,true,free,0,0,,,[],false,2024-10-02T20:28:58+00:00,,,0,5112,492,33,19,"{""ci"":{""value"":false,""source"":""not found in repo tree or manifests""},""auth"":{""value"":true,""source"":""dependency: @clerk/nextjs""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":false,""source"":""not found in repo tree or manifests""},""billing"":{""value"":false,""source"":""not found in repo tree or manifests""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":false,""source"":""not found in repo tree or manifests""}}",GitHub issues,https://github.com/steven-tey/precedent/issues,,none,hands_on,true,false,https://github.com/steven-tey.png?size=160,"An opinionated collection of components, hooks, and utilities for your Next.js project.",https://github.com/steven-tey/precedent,,,,,2026-09-04T05:40:40.829+00:00
saas-boilerplate,SaaS Boilerplate,ixartz,https://react-saas.com,,https://github.com/ixartz/SaaS-Boilerplate#readme,ixartz/SaaS-Boilerplate,Next.js,"[""nextjs"",""react"",""drizzle"",""postgres"",""clerk"",""stripe""]",MIT,https://github.com/ixartz/SaaS-Boilerplate,true,free,0,0,,,[],false,2026-08-21T00:07:03+00:00,2026-07-01T04:04:26+00:00,v1.9.1,5,7396,1332,3,10,"{""ci"":{""value"":true,""source"":""file: .github/workflows/CI.yml""},""auth"":{""value"":true,""source"":""dependency: @clerk/nextjs""},""i18n"":{""value"":true,""source"":""dependency: next-intl""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":true,""source"":""file: src/app/[locale]/(auth)/dashboard/organization-profile/[[...organization-profile]]/page.tsx""},""tests"":{""value"":true,""source"":""dependency: vitest""},""billing"":{""value"":true,""source"":""file: src/features/billing/PricingCard.tsx""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":true,""source"":""file: .vscode/tasks.json""},""transactional_email"":{""value"":false,""source"":""not found in repo tree or manifests""}}",GitHub issues,https://github.com/ixartz/SaaS-Boilerplate/issues,,readme,hands_on,true,false,https://github.com/ixartz.png?size=160,"🚀🎉📚 SaaS Boilerplate built with Next.js + Tailwind CSS + Shadcn UI + TypeScript. ⚡️ Full-stack React application with Auth, Multi-tenancy, Roles & Permissions, i18n, Landing Page, DB, Logging, Testing",https://github.com/ixartz/SaaS-Boilerplate,,,,,2026-09-04T05:40:11.618+00:00
saas-pegasus,SaaS Pegasus,SaaS Pegasus,https://www.saaspegasus.com,https://www.saaspegasus.com/pricing/,https://docs.saaspegasus.com,,Django,"[""django"",""python"",""postgres"",""stripe"",""celery""]",Proprietary (vendor licence),https://www.saaspegasus.com/,false,mixed,449,649,"…Limited updates Basic feature set No support Start building for free or clone the repo Professional $ 449 $ Quickly launch a production Django application with B2B features like billing, teams and AI agents.…",2026-09-04T05:41:35.583+00:00,"[{""value"":449,""source"":""https://www.saaspegasus.com/"",""context"":""…Limited updates Basic feature set No support Start building for free or clone the repo Professional $ 449 $ Quickly launch a production Django application with B2B features like billing, teams and AI agents.…""},{""value"":649,""source"":""https://www.saaspegasus.com/"",""context"":""…additional year of updates * Full feature set 1 project 1 year of community access Try a Demo Unlimited $ 649 $ Build unlimited projects with everything in Pegasus and enjoy lifetime community access. One-time…""}]",false,,2026-08-06T04:00:00+00:00,2026.8.1,,,,,,"{""ci"":{""value"":true,""source"":""vendor page \""github actions\"" — https://www.saaspegasus.com/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://www.saaspegasus.com/""},""i18n"":{""value"":true,""source"":""vendor page \""internationalization\"" — https://www.saaspegasus.com/""},""admin"":{""value"":false,""source"":""not claimed on https://www.saaspegasus.com/""},""roles"":{""value"":true,""source"":""vendor page \""role\"" — https://www.saaspegasus.com/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://www.saaspegasus.com/""},""tests"":{""value"":true,""source"":""vendor page \""test suite\"" — https://www.saaspegasus.com/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://www.saaspegasus.com/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://www.saaspegasus.com/""},""webhooks"":{""value"":false,""source"":""not claimed on https://www.saaspegasus.com/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://www.saaspegasus.com/""},""social_login"":{""value"":true,""source"":""vendor page \""social login\"" — https://www.saaspegasus.com/""},""background_jobs"":{""value"":true,""source"":""vendor page \""background job\"" — https://www.saaspegasus.com/""},""transactional_email"":{""value"":false,""source"":""not claimed on https://www.saaspegasus.com/""}}",Private Slack community,https://www.saaspegasus.com/,12,site,documented,true,false,https://www.saaspegasus.com/static/images/favicons/apple-touch-icon.a8ad3027f2b5.png,"The Pegasus SaaS boilerplate provides core features like user management, teams, subscription billing, APIs and more in a codebase that developers love.",https://www.saaspegasus.com/,https://docs.saaspegasus.com/release-notes/,https://docs.saaspegasus.com/release-notes/,,Pro edition,2026-09-04T05:41:34.946+00:00
saas-pegasus-oss,SaaS Pegasus (Open Source Edition),SaaS Pegasus,https://github.com/saaspegasus/django-boilerplate,,https://github.com/saaspegasus/django-boilerplate#readme,saaspegasus/django-boilerplate,Django,"[""django"",""python"",""postgres"",""celery"",""docker""]",MIT,https://github.com/saaspegasus/django-boilerplate,true,free,0,0,,,[],false,2026-08-04T14:22:25+00:00,,,0,166,26,0,1,"{""ci"":{""value"":true,""source"":""file: .github/workflows/build_frontend.yml""},""auth"":{""value"":true,""source"":""dependency: django-allauth""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":true,""source"":""file: apps/users/admin.py""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":true,""source"":""file: .github/workflows/tests.yml""},""billing"":{""value"":false,""source"":""not found in repo tree or manifests""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":true,""source"":""dependency: celery""},""transactional_email"":{""value"":true,""source"":""dependency: django-anymail""}}",GitHub issues,https://github.com/saaspegasus/django-boilerplate/issues,,readme,hands_on,true,false,https://github.com/saaspegasus.png?size=160,"The original SaaS Boilerplate for Django, trusted by thousands.",https://github.com/saaspegasus/django-boilerplate,,,saas-pegasus,Open-source edition,2026-09-04T05:41:35.887+00:00
saas-ui,Saas UI,Saas UI,https://saas-ui.dev,,https://saas-ui.dev/docs/getting-started/introduction,saas-js/saas-ui,Next.js,"[""react"",""nextjs"",""chakra"",""typescript""]",MIT,https://github.com/saas-js/saas-ui,true,free,0,0,,,[],false,2026-08-22T19:55:08+00:00,2026-08-14T08:12:04+00:00,saas-ui-storybook@3.0.0-next.56,25,1648,171,24,38,"{""ci"":{""value"":true,""source"":""file: .github/workflows/pkg-pr.yml""},""auth"":{""value"":true,""source"":""dependency: @supabase/ssr""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":true,""source"":""file: apps/website/content/saas-js/docs/starter-kits/nextjs/api-procedures/workspace-members.mdx""},""tests"":{""value"":true,""source"":""dependency: vitest""},""billing"":{""value"":true,""source"":""file: apps/website/content/saas-js/docs/starter-kits/nextjs/api-procedures/billing.mdx""},""blog_cms"":{""value"":true,""source"":""file: apps/website/app/(saas-js)/blog/[slug]/page.tsx""},""webhooks"":{""value"":true,""source"":""file: apps/website/app/api/webhooks/polar/route.ts""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""file: apps/website/components/saas-js/demo/email-demo.tsx""}}",GitHub issues,https://github.com/saas-js/saas-ui/issues,,site,hands_on,true,false,https://github.com/saas-js.png?size=160,"The React component library for startups, built with Chakra UI.",https://github.com/saas-js/saas-ui,,,,,2026-09-04T05:41:20.334+00:00
saasfly,Saasfly,Saasfly,https://saasfly.io,,https://docs.saasfly.io/,saasfly/saasfly,Next.js,"[""nextjs"",""react"",""prisma"",""postgres"",""stripe"",""turborepo""]",MIT,https://github.com/saasfly/saasfly,true,free,0,0,,,[],false,2025-08-04T15:02:01+00:00,2025-06-01T07:20:50+00:00,v1.0.0-stable,0,2896,415,3,11,"{""ci"":{""value"":true,""source"":""file: .github/workflows/ci.yml""},""auth"":{""value"":true,""source"":""dependency: next-auth""},""i18n"":{""value"":true,""source"":""file: apps/nextjs/src/config/i18n-config.ts""},""admin"":{""value"":true,""source"":""file: apps/nextjs/src/app/admin/(dashboard)/dashboard/layout.tsx""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":false,""source"":""not found in repo tree or manifests""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":true,""source"":""dependency: @next/mdx""},""webhooks"":{""value"":true,""source"":""file: apps/nextjs/src/app/api/webhooks/stripe/route.ts""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""dependency: resend""}}",Community Discord / Slack,https://github.com/saasfly/saasfly#readme,20,site,hands_on,true,false,https://github.com/saasfly.png?size=160,"Your Next SaaS Template or Boilerplate ! A magic trip start with `bun create saasfly` . The more stars, the more surprises",https://github.com/saasfly/saasfly,,,,,2026-09-04T05:40:25.079+00:00
saasykit,SaaSykit,SaaSykit,https://saasykit.com,https://saasykit.com/#pricing,https://saasykit.com/docs,,Laravel,"[""laravel"",""php"",""mysql"",""stripe"",""filament""]",Proprietary (vendor licence),https://saasykit.com/,false,mixed,239,299,"…Postmark, Amazon SES) Stats Page: MRR, Churn rates, ARPU, and more Lifetime updates And much more... $239.00 + VAT (if applicable) Get SaaSykit Now Pay once, build unlimited projects. SaaSykit Complete…",2026-09-04T05:41:44.472+00:00,"[{""value"":239,""source"":""https://saasykit.com/"",""context"":""…Postmark, Amazon SES) Stats Page: MRR, Churn rates, ARPU, and more Lifetime updates And much more... $239.00 + VAT (if applicable) Get SaaSykit Now Pay once, build unlimited projects. SaaSykit Complete…""},{""value"":269,""source"":""https://saasykit.com/"",""context"":""…Amazon SES), Stats dashboard Test Coverage + Developer Friendly Discord + Email support Lifetime updates $269.00 + VAT (if applicable) Get SaaSykit Tenancy Now Pay once, build unlimited projects. FAQ Got a…""},{""value"":299,""source"":""https://saasykit.com/"",""context"":""…Dashboard Test Coverage + Developer Friendly Discord + Email support Lifetime updates Was was $399.99 now $299.00 + VAT (if applicable) Available for next 10 customers only (2 left) Get SaaSykit Complete Now…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://saasykit.com/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://saasykit.com/""},""i18n"":{""value"":true,""source"":""vendor page \""translations\"" — https://saasykit.com/docs""},""admin"":{""value"":true,""source"":""vendor page \""admin panel\"" — https://saasykit.com/""},""roles"":{""value"":true,""source"":""vendor page \""role\"" — https://saasykit.com/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://saasykit.com/""},""tests"":{""value"":false,""source"":""not claimed on https://saasykit.com/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://saasykit.com/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://saasykit.com/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://saasykit.com/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://saasykit.com/""},""social_login"":{""value"":true,""source"":""vendor page \""social login\"" — https://saasykit.com/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://saasykit.com/""},""transactional_email"":{""value"":true,""source"":""vendor page \""mailgun\"" — https://saasykit.com/""}}",Private Discord community,https://saasykit.com/,46,site,documented,true,false,https://saasykit.com/images/favicon.ico,SaaSykit is a SaaS starter kit (boilerplate) that helps you build and launch your SaaS product faster.,https://saasykit.com/,,,,,2026-09-04T05:41:43.127+00:00
shipfast,ShipFast,Marc Lou,https://shipfa.st,https://shipfa.st/#pricing,https://shipfa.st/docs,,Next.js,"[""nextjs"",""react"",""mongodb"",""stripe"",""mailgun""]",Proprietary (vendor licence),https://shipfa.st/,false,mixed,199,648,"…repetitive code, ship fast, get profitable! $100 off for the first 8420 customers ( 13 left) Starter $ 299 $ 199 USD NextJS boilerplate SEO & Blog Mailgun emails Stripe / Lemon Squeezy MongoDB / Supabase Google…",2026-09-04T05:41:33.655+00:00,"[{""value"":199,""source"":""https://shipfa.st/"",""context"":""…repetitive code, ship fast, get profitable! $100 off for the first 8420 customers ( 13 left) Starter $ 299 $ 199 USD NextJS boilerplate SEO & Blog Mailgun emails Stripe / Lemon Squeezy MongoDB / Supabase Google…""},{""value"":249,""source"":""https://shipfa.st/"",""context"":""…$1,210 worth of discounts Lifetime updates Get ShipFast Pay once. Build unlimited projects! All-in $ 349 $ 249 USD NextJS boilerplate SEO & Blog Mailgun emails Stripe / Lemon Squeezy MongoDB / Supabase Google…""},{""value"":299,""source"":""https://shipfa.st/"",""context"":""…repetitive code, ship fast, get profitable! $100 off for the first 8420 customers ( 13 left) Starter $ 299 $ 199 USD NextJS boilerplate SEO & Blog Mailgun emails Stripe / Lemon Squeezy MongoDB / Supabase…""},{""value"":349,""source"":""https://shipfa.st/"",""context"":""…Leaderboard $1,210 worth of discounts Lifetime updates Get ShipFast Pay once. Build unlimited projects! All-in $ 349 $ 249 USD NextJS boilerplate SEO & Blog Mailgun emails Stripe / Lemon Squeezy MongoDB / Supabase…""},{""value"":648,""source"":""https://shipfa.st/"",""context"":""…updates Updated 7 months ago Get ShipFast Pay once. Build unlimited projects! BUNDLE ShipFast + CodeFast $ 648 $ 299 USD Everything in All-in, and... CodeFast ($299 value) Learn to code in weeks, not months…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://shipfa.st/""},""auth"":{""value"":true,""source"":""vendor page \""sign-up\"" — https://shipfa.st/""},""i18n"":{""value"":false,""source"":""not claimed on https://shipfa.st/""},""admin"":{""value"":false,""source"":""not claimed on https://shipfa.st/""},""roles"":{""value"":false,""source"":""not claimed on https://shipfa.st/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://shipfa.st/""},""tests"":{""value"":false,""source"":""not claimed on https://shipfa.st/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://shipfa.st/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://shipfa.st/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://shipfa.st/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://shipfa.st/""},""social_login"":{""value"":true,""source"":""vendor page \""oauth\"" — https://shipfa.st/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://shipfa.st/""},""transactional_email"":{""value"":true,""source"":""vendor page \""transactional email\"" — https://shipfa.st/""}}",Private Discord community,https://shipfa.st/,57,site,documented,true,false,https://shipfa.st/apple-touch-icon.png,The NextJS boilerplate with all the stuff you need to get your product in front of customers. From idea to production in 5 minutes.,https://shipfa.st/,,,,,2026-09-04T05:41:33.027+00:00
shipixen,Shipixen,Shipixen,https://shipixen.com,https://shipixen.com/#pricing,https://shipixen.com/docs,,Next.js,"[""nextjs"",""react"",""stripe"",""mdx""]",Proprietary (vendor licence),https://shipixen.com/,false,one_time,249,379,"…License Generate unlimited custom boilerplates for an entire year. All generated code is yours forever . $249 Get yearly license Lifetime License 🎁 $121 off Pay once, generate unlimited custom boilerplates.…",2026-09-04T05:41:39.323+00:00,"[{""value"":249,""source"":""https://shipixen.com/"",""context"":""…License Generate unlimited custom boilerplates for an entire year. All generated code is yours forever . $249 Get yearly license Lifetime License 🎁 $121 off Pay once, generate unlimited custom boilerplates.…""},{""value"":379,""source"":""https://shipixen.com/"",""context"":""…off Pay once, generate unlimited custom boilerplates. Including AI features. That's right. was $500 $379 Get lifetime deal All licenses include See all features App to generate ∞ codebases 63+ themes 300+…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""auth"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""i18n"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""admin"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""roles"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""teams"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""tests"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://shipixen.com/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://shipixen.com/""},""webhooks"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""social_login"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://shipixen.com/""},""transactional_email"":{""value"":false,""source"":""not claimed on https://shipixen.com/""}}",Email support,https://shipixen.com/,,site,documented,true,false,https://shipixen.com/static/favicons/apple-touch-icon.png,"Ship Next.js 15 apps with an MDX blog in minutes. TypeScript, Shadcn UI and all components you need to build for your app, website, product or blog. SEO optimized, responsive and performant.",https://shipixen.com/,,,,,2026-09-04T05:41:39.062+00:00
shipped-club,Shipped,Shipped,https://shipped.club,https://shipped.club/#pricing,,,Next.js,"[""nextjs"",""react"",""supabase"",""stripe""]",Proprietary (vendor licence),https://shipped.club/,false,one_time,150,307,"…I'm a software engineer by profession, turned indie maker. I've launched 6 SaaS in the last two years ($150k+ in revenues), on the side of my full-time job, and I intend to launch more in the future using…",2026-09-04T05:41:48.009+00:00,"[{""value"":150,""source"":""https://shipped.club/"",""context"":""…I'm a software engineer by profession, turned indie maker. I've launched 6 SaaS in the last two years ($150k+ in revenues), on the side of my full-time job, and I intend to launch more in the future using…""},{""value"":157,""source"":""https://shipped.club/"",""context"":""…❤️ Pricing Save weeks of coding with Shipped . Earn your first dollars today. SaaS Boilerplate $ 257 $ 157 $ 157 billed yearly Next.js 14 & TypeScript Email integrations Magic link sign up Markdown-based…""},{""value"":207,""source"":""https://shipped.club/"",""context"":""…Lifetime updates Buy now Pay once, launch unlimited products SaaS + Chrome Extension Boilerplate $ 307 $ 207 $ 207 billed yearly Everything from the SaaS Boilerplate React Chrome Extension Boilerplate Extension…""},{""value"":257,""source"":""https://shipped.club/"",""context"":""…Shipped ❤️ Pricing Save weeks of coding with Shipped . Earn your first dollars today. SaaS Boilerplate $ 257 $ 157 $ 157 billed yearly Next.js 14 & TypeScript Email integrations Magic link sign up Markdown-based…""},{""value"":307,""source"":""https://shipped.club/"",""context"":""…community ✨ Lifetime updates Buy now Pay once, launch unlimited products SaaS + Chrome Extension Boilerplate $ 307 $ 207 $ 207 billed yearly Everything from the SaaS Boilerplate React Chrome Extension Boilerplate…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://shipped.club/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://shipped.club/""},""i18n"":{""value"":false,""source"":""not claimed on https://shipped.club/""},""admin"":{""value"":false,""source"":""not claimed on https://shipped.club/""},""roles"":{""value"":false,""source"":""not claimed on https://shipped.club/""},""teams"":{""value"":false,""source"":""not claimed on https://shipped.club/""},""tests"":{""value"":false,""source"":""not claimed on https://shipped.club/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://shipped.club/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://shipped.club/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://shipped.club/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://shipped.club/""},""social_login"":{""value"":true,""source"":""vendor page \""social login\"" — https://shipped.club/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://shipped.club/""},""transactional_email"":{""value"":true,""source"":""vendor page \""transactional email\"" — https://shipped.club/""}}",Private Discord community,https://shipped.club/,,none,documented,true,false,https://shipped.club/apple-touch-icon.png,Build and ship your SaaS in days. And make money.,https://shipped.club/,,,,,2026-09-04T05:41:47.818+00:00
supastarter,supastarter,supastarter,https://supastarter.dev,https://supastarter.dev/#pricing,https://supastarter.dev/docs,,Next.js,"[""nextjs"",""react"",""prisma"",""postgres"",""stripe"",""turborepo""]",Proprietary (vendor licence),https://supastarter.dev/,false,one_time,299,1499,…deserves Production-ready at scale No vendor lock-in Own your data Fully customizable Get lifetime access – $299 See demo trusted by 1483 developers Codebase Auth Payments Orgs i18n API AI workflows Marketing…,2026-09-04T05:41:34.712+00:00,"[{""value"":299,""source"":""https://supastarter.dev/"",""context"":""…deserves Production-ready at scale No vendor lock-in Own your data Fully customizable Get lifetime access – $299 See demo trusted by 1483 developers Codebase Auth Payments Orgs i18n API AI workflows Marketing…""},{""value"":799,""source"":""https://supastarter.dev/"",""context"":""…Polar Polar Creem Dodo Payments Dodo Payments Choose your plan Solo $299 once Select Popular Startup $799 once Select Agency $1,499 once Select Orgs Ready for organizations on day one Organizations, invites,…""},{""value"":1499,""source"":""https://supastarter.dev/"",""context"":""…Payments Dodo Payments Choose your plan Solo $299 once Select Popular Startup $799 once Select Agency $1,499 once Select Orgs Ready for organizations on day one Organizations, invites, and roles are already…""}]",false,,,,,,,,,"{""ci"":{""value"":true,""source"":""vendor page \""github actions\"" — https://supastarter.dev/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://supastarter.dev/""},""i18n"":{""value"":true,""source"":""vendor page \""i18n\"" — https://supastarter.dev/""},""admin"":{""value"":true,""source"":""vendor page \""admin panel\"" — https://supastarter.dev/docs/nextjs""},""roles"":{""value"":true,""source"":""vendor page \""role\"" — https://supastarter.dev/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://supastarter.dev/""},""tests"":{""value"":true,""source"":""vendor page \""playwright\"" — https://supastarter.dev/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://supastarter.dev/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://supastarter.dev/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://supastarter.dev/""},""file_uploads"":{""value"":true,""source"":""vendor page \""file upload\"" — https://supastarter.dev/""},""social_login"":{""value"":true,""source"":""vendor page \""oauth\"" — https://supastarter.dev/""},""background_jobs"":{""value"":true,""source"":""vendor page \""cron job\"" — https://supastarter.dev/""},""transactional_email"":{""value"":true,""source"":""vendor page \""transactional email\"" — https://supastarter.dev/""}}",Private Discord community,https://supastarter.dev/,31,site,documented,true,false,https://supastarter.dev/icon.png?icon.02ceudlr49kg8.png,"The #1 production-ready Next.js SaaS starter kit and boilerplate. Ship your SaaS product faster with authentication, payments, multi-tenancy, and more — all pre-built so you can focus on what matters to your customers.",https://supastarter.dev/,,,,,2026-09-04T05:41:34.157+00:00
